symbol	profile	managed_validation
smb2_set_domain	required	pending
smb2_set_error	translated-unqualified	pending
smb2_set_opaque	translated-unqualified	pending
smb2_set_oplock_or_lease_break_callback	translated-unqualified	pending
smb2_set_passthrough	translated-unqualified	pending
smb2_set_password	required	pending
smb2_set_password_from_file	translated-unqualified	pending
smb2_set_pdu_message_id	translated-unqualified	pending
smb2_set_pdu_status	translated-unqualified	pending
smb2_set_seal	required	pending
smb2_set_security_mode	required	pending
smb2_set_sign	required	pending
smb2_set_timeout	required	pending
smb2_set_tree_id_for_pdu	translated-unqualified	pending
smb2_set_user	required	pending
smb2_set_version	required	pending
smb2_set_workstation	translated-unqualified	pending
smb2_share_enum_async	translated-unqualified	pending
smb2_share_enum_sync	translated-unqualified	pending
smb2_stat	required	pending
smb2_stat_async	required	pending
smb2_statvfs	required	pending
smb2_statvfs_async	required	pending
smb2_symlink	translated-unqualified	pending
smb2_symlink_async	translated-unqualified	pending
smb2_telldir	translated-unqualified	pending
smb2_timeval_to_win	translated-unqualified	pending
smb2_truncate	required	pending
smb2_truncate_async	required	pending
smb2_unlink	required	pending
smb2_unlink_async	required	pending
smb2_utf16_to_utf8	translated-unqualified	pending
smb2_utf8_to_utf16	translated-unqualified	pending
smb2_which_events	required	pending
smb2_win_to_timeval	translated-unqualified	pending
smb2_write	required	pending
smb2_write_async	required	pending
